((('642', '12'), ('198',)), 0.75)
((('395', '11'), ('284',)), 0.5892857142857143)
((('129', '337'), ('11',)), 0.6428571428571429)
((('23', '193'), ('19',)), 0.8636363636363636)
((('198', '17'), ('11',)), 0.6074074074074074)
((('198', '11'), ('17',)), 0.543046357615894)
((('201', '22'), ('11',)), 0.7058823529411765)
((('201', '255'), ('11',)), 0.8421052631578947)
((('255', '11'), ('201',)), 0.7272727272727273)
((('19', '72'), ('14',)), 0.7272727272727273)
((('72', '14'), ('19',)), 0.6666666666666666)
((('144', '161'), ('159',)), 0.75)
((('161', '159'), ('144',)), 0.967741935483871)
((('209', '24'), ('17',)), 0.6666666666666666)
((('198', '642'), ('17',)), 0.7391304347826086)
((('17', '642'), ('198',)), 0.5)
((('19', '338'), ('11',)), 0.5588235294117647)
((('338', '11'), ('19',)), 0.5135135135135135)
((('129', '284'), ('11',)), 0.5714285714285714)
((('859', '440'), ('860',)), 0.7419354838709677)
((('860', '440'), ('859',)), 0.575)
((('859', '860'), ('440',)), 0.8214285714285714)
((('201', '139'), ('11',)), 0.5666666666666667)
((('43', '73'), ('11',)), 0.5241935483870968)
((('73', '11'), ('43',)), 0.6842105263157895)
((('22', '215'), ('11',)), 0.5333333333333333)
((('19', '440'), ('423',)), 0.5357142857142857)
((('19', '222'), ('11',)), 0.7916666666666666)
((('222', '11'), ('19',)), 0.6785714285714286)
((('19', '73'), ('24',)), 0.5698924731182796)
((('73', '24'), ('19',)), 0.7794117647058824)
((('23', '209'), ('19',)), 0.5555555555555556)
((('144', '13'), ('11',)), 0.625)
((('201', '438'), ('129',)), 0.6666666666666666)
((('129', '438'), ('201',)), 0.6666666666666666)
((('19', '12'), ('24',)), 0.5428571428571428)
((('12', '24'), ('19',)), 0.7169811320754716)
((('440', '24'), ('423',)), 0.5789473684210527)
((('161', '23'), ('13',)), 0.8529411764705882)
((('294', '129'), ('201',)), 0.6956521739130435)
((('294', '201'), ('129',)), 0.6666666666666666)
((('19', '166'), ('129',)), 0.7916666666666666)
((('440', '12'), ('11',)), 0.75)
((('129', '443'), ('201',)), 0.7272727272727273)
((('201', '443'), ('129',)), 0.7619047619047619)
((('129', '385'), ('12',)), 0.7142857142857143)
((('385', '12'), ('129',)), 0.6521739130434783)
((('10', '397'), ('13',)), 0.7083333333333334)
((('397', '13'), ('10',)), 0.68)
((('201', '338'), ('337',)), 0.7619047619047619)
((('240', '12'), ('13',)), 0.6666666666666666)
